year,month,average_temp,month_name
1964,1,2.7008998793727383,January
1964,2,-4.899754479097545,February
1964,3,-8.244109289617485,March
1964,4,-2.462983159582999,April
1964,5,2.3795499561238564,May
1964,6,-1.8228600672612953,June
1964,7,1.1521089666264577,July
1964,8,-3.5711741167284794,August
1964,9,-0.4679005315110099,September
1964,10,-0.18447977554360534,October
1964,11,-3.6583524050632916,November
1964,12,-1.1321867007672635,December
1965,1,3.1987703152535736,January
1965,2,-3.709647169811321,February
1965,3,-15.524821010371362,March
1965,4,2.082803499817718,April
1965,5,-2.392518147684606,May
1965,6,-6.8951929260450155,June
1965,7,-3.9340638528138525,July
1965,8,-4.650865614538499,August
1965,9,-10.023002768082803,September
1965,10,-0.0301838402178847,October
1965,11,7.029261306532663,November
1965,12,10.623028384725343,December
1966,1,-12.598396324549238,January
1966,2,-3.607520207852194,February
1966,3,-0.1410374281720764,March
1966,4,-3.9884573091849935,April
1966,5,-6.316541229953277,May
1966,6,-3.138094252507562,June
1966,7,2.9051058041112454,July
1966,8,-5.7720674941815355,August
1966,9,-1.7217127496159754,September
1966,10,-2.096756499682942,October
1966,11,3.4741884816753923,November
1966,12,7.3914170815779405,December
1967,1,12.626538320498716,January
1967,2,-7.107774209486166,February
1967,3,4.707379182156134,March
1967,4,0.5785071189279731,April
1967,5,-6.73232705033086,May
1967,6,-5.735354901014003,June
1967,7,-7.165182765593404,July
1967,8,-4.9513257519078255,August
1967,9,-7.127483394833948,September
1967,10,3.0894631007440174,October
1967,11,-2.370361010830325,November
1967,12,0.08913673597983615,December
1968,1,-5.839774001699236,January
1968,2,0.4653922200730711,February
1968,3,5.321266077793274,March
1968,4,-0.862722469410456,April
1968,5,-5.9174200492004925,May
1968,6,-0.7980736416704086,June
1968,7,-3.894763809523809,July
1968,8,-3.3500130863700424,August
1968,9,-4.465996892801657,September
1968,10,5.625308251070963,October
1968,11,-0.5465260900643317,November
1968,12,-15.307926069202665,December
1969,1,-3.596085127860027,January
1969,2,-5.3922257551669315,February
1969,3,-11.115108253296436,March
1969,4,3.6276908487434802,April
1969,5,5.200226392004895,May
1969,6,-2.966627054642381,June
1969,7,0.48715022699133304,July
1969,8,1.6050832289242887,August
1969,9,2.905750731911334,September
1969,10,-3.878324074074074,October
1969,11,-4.37260172331259,November
1969,12,5.378737145207733,December
1970,1,-10.738094390026713,January
1970,2,-3.6968978349120434,February
1970,3,-6.556956049918611,March
1970,4,2.57591003255401,April
1970,5,-0.9326539773747531,May
1970,6,1.8916203703703702,June
1970,7,-2.1881967512319767,July
1970,8,3.0522379182156136,August
1970,9,-1.2219763872491145,September
1970,10,-0.707227070347284,October
1970,11,-11.71548373644704,November
1970,12,9.60403446752099,December
1971,1,-4.483103492884864,January
1971,2,-8.463864749082008,February
1971,3,-5.81935790931118,March
1971,4,-6.403792314730101,April
1971,5,-8.077906659388647,May
1971,6,2.1177474259298172,June
1971,7,-5.326789187407286,July
1971,8,-0.09535555555555555,August
1971,9,-1.675673398421827,September
1971,10,-1.8156685253292206,October
1971,11,4.818836538461539,November
1971,12,9.824361493123773,December
1972,1,-8.142850624399616,January
1972,2,0.8532498639085466,February
1972,3,1.3576117054751415,March
1972,4,-3.670217117684078,April
1972,5,2.4787739953928845,May
1972,6,-6.242708147619896,June
1972,7,-6.052501575299306,July
1972,8,-0.37649778761061947,August
1972,9,-4.8441553527709775,September
1972,10,-9.306864116471596,October
1972,11,-5.795331656711726,November
1972,12,-13.049882395295812,December
1973,1,-1.9405112200921386,January
1973,2,-8.905392809587216,February
1973,3,9.287706004140787,March
1973,4,-7.345117870722434,April
1973,5,-2.9083144963144965,May
1973,6,1.2811624441132639,June
1973,7,-1.1910527842227379,July
1973,8,1.035411681914145,August
1973,9,2.587293551491819,September
1973,10,7.38323141654979,October
1973,11,5.6609639149777555,November
1973,12,1.7331984107275888,December
1974,1,-1.444430474061656,January
1974,2,-0.6886136485760344,February
1974,3,3.6199752436948787,March
1974,4,5.622895791583166,April
1974,5,-0.31005930025696776,May
1974,6,1.2685856720827178,June
1974,7,0.5137662624035282,July
1974,8,-6.730629991126885,August
1974,9,-8.674724046140195,September
1974,10,-7.0811135252580115,October
1974,11,5.43540864255519,November
1974,12,-0.4720991052993806,December
1975,1,6.503312526009155,January
1975,2,-2.6945347758887173,February
1975,3,-8.787745219766576,March
1975,4,-12.10051338255653,April
1975,5,1.767163029525032,May
1975,6,-4.03257087628866,June
1975,7,-1.1464437869822486,July
1975,8,-1.2702923832923834,August
1975,9,-5.868462738977761,September
1975,10,3.3531500572737687,October
1975,11,3.4979372155660817,November
1975,12,5.118203568532036,December
1976,1,-5.113492102065614,January
1976,2,11.986862955032121,February
1976,3,-1.9894170692431563,March
1976,4,6.320846757538208,April
1976,5,-8.274094076655052,May
1976,6,-2.284036889540977,June
1976,7,-2.825901859735604,July
1976,8,-4.34711502307298,August
1976,9,0.18095065312046446,September
1976,10,-7.75894083491841,October
1976,11,-14.847368537096242,November
1976,12,-11.263001206272618,December
1977,1,-18.28834980608032,January
1977,2,5.43787675070028,February
1977,3,8.779035714285714,March
1977,4,7.7512503492595695,April
1977,5,3.6999472727272726,May
1977,6,0.2266434401751941,June
1977,7,3.395731486063005,July
1977,8,-0.2823088316978337,August
1977,9,3.0152857541120714,September
1977,10,2.5638558558558557,October
1977,11,-1.5603480362537763,November
1977,12,-1.8430071785268414,December
1978,1,-10.865410677618069,January
1978,2,-12.580384892951649,February
1978,3,-7.503403060662777,March
1978,4,2.7340855614973263,April
1978,5,-4.4923551509897415,May
1978,6,1.6459944367176633,June
1978,7,-1.5735960067969412,July
1978,8,-1.2628209801539085,August
1978,9,5.110548985253322,September
1978,10,0.34462908011869436,October
1978,11,-0.3104952333787297,November
1978,12,-9.265888655462184,December
1979,1,-17.752589172780166,January
1979,2,-18.52573205546493,February
1979,3,3.141498322773015,March
1979,4,-6.415134936211973,April
1979,5,-5.406190376129439,May
1979,6,-3.8855729613733905,June
1979,7,-4.380725712056184,July
1979,8,-4.613574677096598,August
1979,9,4.245857719475278,September
1979,10,5.494103931728131,October
1979,11,-5.79031267765776,November
1979,12,9.608586829153971,December
1980,1,-0.22451946637625922,January
1980,2,-0.18982172818791948,February
1980,3,-21.297188000000002,March
1980,4,6.964946150777822,April
1980,5,2.2314178135549207,May
1980,6,0.6444744939271255,June
1980,7,6.297546093511256,July
1980,8,2.3881498079385404,August
1980,9,4.0931217183770885,September
1980,10,-0.18862939481268012,October
1980,11,5.926856039713182,November
1980,12,4.7434741841207995,December
1981,1,4.329832859174965,January
1981,2,6.1899348659003826,February
1981,3,11.01116744780571,March
1981,4,9.76763487268019,April
1981,5,-4.208435783416165,May
1981,6,4.683371278458844,June
1981,7,-0.8482867068933991,July
1981,8,-0.3522728483879563,August
1981,9,-3.715619343160072,September
1981,10,-3.817568982880161,October
1981,11,6.762555786968164,November
1981,12,-1.1987609479649666,December
1982,1,-15.616174825174825,January
1982,2,-7.463270823745973,February
1982,3,1.4332064890847187,March
1982,4,-12.248101423085611,April
1982,5,1.1552431610942249,May
1982,6,-6.111204819277108,June
1982,7,-3.6541538065843624,July
1982,8,-3.9592162043152794,August
1982,9,-3.8950723775530434,September
1982,10,-0.2879593012094452,October
1982,11,4.3899954379562045,November
1982,12,17.296972986308127,December
1983,1,6.363938814531549,January
1983,2,9.531176679701387,February
1983,3,6.080800842992624,March
1983,4,-10.210924276169266,April
1983,5,-2.9525099852848435,May
1983,6,-4.495209312737855,June
1983,7,-0.23314860480207655,July
1983,8,6.297144738417336,August
1983,9,-0.13776832070814538,September
1983,10,6.82648771610555,October
1983,11,5.0281797889610385,November
1983,12,-26.817860006795787,December
1984,1,-11.362206652034443,January
1984,2,9.175683646112601,February
1984,3,-11.049941972920696,March
1984,4,2.067094861660079,April
1984,5,0.9723455730954015,May
1984,6,-1.6995565031982942,June
1984,7,-2.2226501519046504,July
1984,8,2.1219430051813473,August
1984,9,-8.788331718867722,September
1984,10,-2.993469422043011,October
1984,11,-0.37756035113386976,November
1984,12,10.788781904325234,December
1985,1,-15.296375266524521,January
1985,2,-11.073483930588356,February
1985,3,6.19308123997862,March
1985,4,8.309032084119709,April
1985,5,3.897443489334607,May
1985,6,-2.2178678414096917,June
1985,7,0.4227073940486925,July
1985,8,-4.399478260869565,August
1985,9,-3.440081493707448,September
1985,10,-1.2033801169590645,October
1985,11,-13.543187011425134,November
1985,12,-12.765313119000457,December
1986,1,7.42509947643979,January
1986,2,7.518881958881959,February
1986,3,9.254078049871408,March
1986,4,5.124611605053814,April
1986,5,3.0209895525330177,May
1986,6,3.2551692638366467,June
1986,7,0.49900578220366204,July
1986,8,-7.418171745152355,August
1986,9,-5.197971232288536,September
1986,10,8.626816390858945,October
1986,11,-8.132548782593679,November
1986,12,7.82241890639481,December
1987,1,2.7363085234093636,January
1987,2,4.689012455516014,February
1987,3,3.4852701212789414,March
1987,4,4.127786273954499,April
1987,5,8.608456800985396,May
1987,6,4.8541179513709265,June
1987,7,-2.462409860808318,July
1987,8,-1.5035017282637597,August
1987,9,4.170882967607105,September
1987,10,0.5506949081803004,October
1987,11,7.771584380610412,November
1987,12,4.433656574211306,December
1988,1,-7.136611677881485,January
1988,2,-3.3916246953696185,February
1988,3,3.4253119041133204,March
1988,4,3.845281150159744,April
1988,5,3.305655281969817,May
1988,6,5.731778767631774,June
1988,7,2.9174663677130046,July
1988,8,5.363867286132714,August
1988,9,2.764548919949174,September
1988,10,-3.231917562724014,October
1988,11,7.4132509825940485,November
1988,12,0.08127741228070176,December
1989,1,6.058243647234679,January
1989,2,-15.07952857385111,February
1989,3,-4.14225820922304,March
1989,4,5.004684906929805,April
1989,5,-1.6630520332313075,May
1989,6,-2.8164715107161524,June
1989,7,2.2490485395189004,July
1989,8,-2.9287470997679814,August
1989,9,-5.577089175546831,September
1989,10,-2.9036183491964427,October
1989,11,-1.561689329707247,November
1989,12,-20.81150374217199,December
1990,1,13.751424567958898,January
1990,2,4.811523660946438,February
1990,3,11.467944625407165,March
1990,4,8.226867301231803,April
1990,5,-4.324288379530917,May
1990,6,2.7903939726887454,June
1990,7,-1.2934150248278071,July
1990,8,0.4240357064139299,August
1990,9,5.15282026370576,September
1990,10,5.224487336601308,October
1990,11,11.701994488460214,November
1990,12,-15.703244848061473,December
1991,1,-0.16548455056179776,January
1991,2,9.279431112949938,February
1991,3,8.54320539419087,March
1991,4,8.553997728563317,April
1991,5,4.80947308606261,May
1991,6,2.7924546553808947,June
1991,7,1.4599583231184114,July
1991,8,1.9121916268614778,August
1991,9,-1.4965785169029444,September
1991,10,-5.6764932455063075,October
1991,11,-10.880441022051102,November
1991,12,12.07338154469193,December
1992,1,10.139893203883496,January
1992,2,12.10389246778989,February
1992,3,2.21869013507982,March
1992,4,1.9063913516876654,April
1992,5,-1.3609972630858707,May
1992,6,-3.3893109540636046,June
1992,7,-6.656136865342163,July
1992,8,-6.964133498703349,August
1992,9,-6.602396882104579,September
1992,10,2.6486284763489425,October
1992,11,-6.535517581334211,November
1992,12,-5.046458966565349,December
1993,1,0.4972194950911641,January
1993,2,-13.888147335423199,February
1993,3,-9.042392807745504,March
1993,4,-7.657037193575655,April
1993,5,2.496231038506418,May
1993,6,-7.465131071703932,June
1993,7,-2.673879799125223,July
1993,8,-2.4028115015974443,August
1993,9,-3.9332132512671976,September
1993,10,-6.3376440980678685,October
1993,11,-12.34619309397011,November
1993,12,-3.2606273440163656,December
1994,1,-15.75897000147776,January
1994,2,-5.156291695030633,February
1994,3,7.194120357820548,March
1994,4,5.658276025236593,April
1994,5,-3.575361245851417,May
1994,6,6.105543199315655,June
1994,7,-0.5634544142410393,July
1994,8,-1.0928242142025613,August
1994,9,0.43679808400884307,September
1994,10,3.983859047619047,October
1994,11,1.6576510067114094,November
1994,12,11.48400062754942,December
1995,1,14.820025290844713,January
1995,2,5.295004465614766,February
1995,3,-5.360453686200378,March
1995,4,-7.249982224479432,April
1995,5,-2.9082373300370827,May
1995,6,-2.281549920198617,June
1995,7,0.7318262150220912,July
1995,8,4.683433891454966,August
1995,9,-4.6359730806207935,September
1995,10,3.278188626907074,October
1995,11,-0.019740721911540415,November
1995,12,3.8590947907771134,December
1996,1,-3.542278148018239,January
1996,2,-7.085866511296692,February
1996,3,-17.89089570255915,March
1996,4,-1.9553717069649945,April
1996,5,3.474986045382842,May
1996,6,1.3262416280267904,June
1996,7,-1.1944345847554039,July
1996,8,1.4742293906810036,August
1996,9,-3.713374855156431,September
1996,10,-4.211415384615385,October
1996,11,-9.766700950902386,November
1996,12,-4.187130809258927,December
1997,1,0.07151025056947607,January
1997,2,13.012536830758174,February
1997,3,6.838658918194009,March
1997,4,-14.417239906832297,April
1997,5,-2.3302521758536043,May
1997,6,-4.5647045951859955,June
1997,7,-4.757617831893166,July
1997,8,-3.074421263791374,August
1997,9,2.572693726937269,September
1997,10,3.438598859885989,October
1997,11,-1.730332383665717,November
1997,12,4.286321167883212,December
1998,1,12.459714837049743,January
1998,2,12.987793427230049,February
1998,3,2.060080366225839,March
1998,4,4.721378378378378,April
1998,5,6.189000521467061,May
1998,6,-1.6169864620938628,June
1998,7,4.175764766131786,July
1998,8,3.87070917929654,August
1998,9,9.040398597766814,September
1998,10,7.7067975926512515,October
1998,11,9.903670886075949,November
1998,12,9.381508357759644,December
1999,1,6.044378320935175,January
1999,2,10.624765747590226,February
1999,3,2.5095719381688464,March
1999,4,-2.0113158474763058,April
1999,5,-4.859722814498934,May
1999,6,-1.6773637264618433,June
1999,7,1.9640295934492171,July
1999,8,1.6945632333767928,August
1999,9,-0.6879864294883551,September
1999,10,-1.7641182873730044,October
1999,11,13.741653973089617,November
1999,12,12.252487060041409,December
2000,1,10.603068902065017,January
2000,2,17.543334272432737,February
2000,3,12.820039358159248,March
2000,4,0.49257173219978745,April
2000,5,7.835014113801813,May
2000,6,-1.58746122795836,June
2000,7,-1.0899395117736013,July
2000,8,3.5221161678767485,August
2000,9,0.6097334504979497,September
2000,10,-0.6487497832495231,October
2000,11,-4.000158520475561,November
2000,12,-14.79615013081103,December
2001,1,0.8885617283950618,January
2001,2,4.510846181427035,February
2001,3,-1.6937449039021548,March
2001,4,7.1814472580915645,April
2001,5,6.289359337546307,May
2001,6,-2.3225089809037627,June
2001,7,0.11790227142584461,July
2001,8,6.495103568320279,August
2001,9,-1.2895358024691357,September
2001,10,-0.35841867809609745,October
2001,11,8.698649302590379,November
2001,12,15.13043062200957,December
2002,1,14.468107849393746,January
2002,2,8.991385440180586,February
2002,3,-13.723163565132223,March
2002,4,6.7006560154926165,April
2002,5,-3.886728368489023,May
2002,6,3.3223438113948918,June
2002,7,5.002988487108805,July
2002,8,2.79688268771801,August
2002,9,7.007525481313704,September
2002,10,-2.9046632653061226,October
2002,11,1.7430683269476372,November
2002,12,9.806178790534618,December
2003,1,5.870747683235047,January
2003,2,-2.9346430976430975,February
2003,3,-6.399021589343133,March
2003,4,-4.864960500329164,April
2003,5,5.174576020690929,May
2003,6,-3.8558929395477617,June
2003,7,4.4153922452660055,July
2003,8,5.584982105857977,August
2003,9,1.0078469633852225,September
2003,10,5.350628869338547,October
2003,11,6.181330004539265,November
2003,12,8.79189352360044,December
2004,1,-1.6958668315811172,January
2004,2,-0.9656723963599595,February
2004,3,12.402799015348972,March
2004,4,4.984490861618799,April
2004,5,0.4396555721145885,May
2004,6,-0.7221046611381183,June
2004,7,-4.963504420961828,July
2004,8,-6.242128440366972,August
2004,9,2.4170842824601366,September
2004,10,3.600185328185328,October
2004,11,5.380477415666095,November
2004,12,-1.1574168744804654,December
2005,1,8.829487420960582,January
2005,2,11.292669666291713,February
2005,3,1.6775117813383602,March
2005,4,4.834706152433425,April
2005,5,-5.968004880149275,May
2005,6,2.3386102838991465,June
2005,7,2.91440067624683,July
2005,8,2.6788305813164444,August
2005,9,6.681927799607073,September
2005,10,8.893410306955786,October
2005,11,5.229711972598475,November
2005,12,0.6616055756324213,December
2006,1,14.110106129917657,January
2006,2,-1.6517404708520178,February
2006,3,3.948247734138973,March
2006,4,10.037665274023102,April
2006,5,6.973760638297873,May
2006,6,4.556006651317473,June
2006,7,6.386566149297857,July
2006,8,4.858087709392057,August
2006,9,-4.525244444444445,September
2006,10,-0.1142102908277405,October
2006,11,3.158732102486812,November
2006,12,10.597262295081968,December
2007,1,5.1403492301915135,January
2007,2,-9.953335555555556,February
2007,3,8.795982748594689,March
2007,4,-9.173147776860478,April
2007,5,4.411706114398422,May
2007,6,1.7033452274754683,June
2007,7,3.7770081175106305,July
2007,8,4.947447713576746,August
2007,9,5.31013074269112,September
2007,10,11.730008381226053,October
2007,11,3.7077609727164886,November
2007,12,10.741304347826086,December
2008,1,10.413323593864133,January
2008,2,2.279527126099707,February
2008,3,-7.380745501285347,March
2008,4,-3.7104384531590413,April
2008,5,-0.573792186541215,May
2008,6,1.9303052821851776,June
2008,7,-2.118683351468988,July
2008,8,0.08503473830477074,August
2008,9,4.876538807311957,September
2008,10,-2.4288733723344027,October
2008,11,5.930821707803158,November
2008,12,-3.7471045418950664,December
2009,1,-0.8898087833578484,January
2009,2,7.098882491494374,February
2009,3,-7.653173880030372,March
2009,4,2.9112702960840493,April
2009,5,3.3175210694565536,May
2009,6,-1.7819443507588533,June
2009,7,-2.914926686217009,July
2009,8,-2.0183467230443974,August
2009,9,0.4027666792310592,September
2009,10,-8.250390479153703,October
2009,11,10.364398916356247,November
2009,12,-10.112724458204333,December
2010,1,-8.245165823496347,January
2010,2,-3.9016406249999998,February
2010,3,5.211661687826736,March
2010,4,6.601997175141243,April
2010,5,-0.09463931718061674,May
2010,6,3.797672762271415,June
2010,7,2.354075597026728,July
2010,8,3.3906548018804568,August
2010,9,5.662573243187872,September
2010,10,8.553426944226239,October
2010,11,-2.1914604125083166,November
2010,12,-2.1527063339731285,December
2011,1,-1.6189463220675944,January
2011,2,-7.541929512281951,February
2011,3,3.679955767267778,March
2011,4,5.945629673356946,April
2011,5,-1.5901622453813358,May
2011,6,3.828898773006135,June
2011,7,5.563969329529244,July
2011,8,6.425843023255814,August
2011,9,5.2238754985260965,September
2011,10,5.8971073044602464,October
2011,11,3.85830755634114,November
2011,12,7.3589017341040455,December
2012,1,13.353151759695136,January
2012,2,10.033849716932579,February
2012,3,17.19350740664892,March
2012,4,10.952488719194724,April
2012,5,8.267487634316902,May
2012,6,4.8029579959514175,June
2012,7,6.4657339603627815,July
2012,8,3.566182813536828,August
2012,9,5.077637077769049,September
2012,10,-2.2433237336947314,October
2012,11,8.403241360089186,November
2012,12,13.25104199066874,December
2013,1,6.5419790690409245,January
2013,2,-3.9593956043956045,February
2013,3,-1.8144093057070159,March
2013,4,-6.672034241245136,April
2013,5,-4.662054292002934,May
2013,6,3.5751031687546058,June
2013,7,-0.14686567164179104,July
2013,8,1.4243462717058222,August
2013,9,6.952254594962559,September
2013,10,2.983874941887494,October
2013,11,-10.437158974358974,November
2013,12,-4.46250128490663,December
